,Centre_of_Interval,Mean_Correlation
244,1996-11-06,0.07925267765363612
245,1996-11-13,0.014953350053040933
246,1996-11-20,0.02847264194930413
247,1996-11-27,0.09545153331130778
248,1996-12-05,0.22974592665026536
249,1996-12-12,0.08258182153099133
250,1996-12-19,0.12222534947657034
251,1996-12-27,0.16885834336062946
252,1997-01-06,0.24511431268293743
253,1997-01-13,0.11593040004452974
254,1997-01-20,0.017170555809044453
255,1997-01-27,0.105293743421189
256,1997-02-03,0.18537822195313602
257,1997-02-10,0.10062362233062629
258,1997-02-18,0.17643987141913256
259,1997-02-25,0.17705778532948438
260,1997-03-04,0.09445934070868713
261,1997-03-11,0.23537481341930785
262,1997-03-18,0.11088220292872508
263,1997-03-25,0.2845034510606308
264,1997-04-02,0.21954030659467771
265,1997-04-09,0.35835255062336957
266,1997-04-16,0.07829825754146631
267,1997-04-23,0.2053611665036291
268,1997-04-30,0.26297112223956254
269,1997-05-07,0.2977915260959703
270,1997-05-14,0.19808486002646786
271,1997-05-21,0.11458300784799406
272,1997-05-29,0.040369721799089694
273,1997-06-05,0.1529574542075319
274,1997-06-12,0.1267495250829441
275,1997-06-19,0.24636936916575294
276,1997-06-26,0.19173686607410348
277,1997-07-03,0.1254783166004643
278,1997-07-11,0.15248585891975824
279,1997-07-18,0.32348351625422295
280,1997-07-25,0.01315981144688486
281,1997-08-01,0.12243442611156354
282,1997-08-08,0.2979140459344382
283,1997-08-15,0.3139630206742395
284,1997-08-22,0.21871872997420444
285,1997-08-29,0.3520432260018579
286,1997-09-08,0.1635831388074795
287,1997-09-15,0.3574938998774173
288,1997-09-22,0.09394461615939628
289,1997-09-29,0.12622851013403327
290,1997-10-06,0.17595190028197538
291,1997-10-13,0.02175666779522231
292,1997-10-20,0.3524493315930691
293,1997-10-27,0.6650620514896417
294,1997-11-03,0.3704120070299759
295,1997-11-10,0.19418833360123988
296,1997-11-17,0.28436299095188755
297,1997-11-24,0.3219495687004736
298,1997-12-02,0.1589314355520362
299,1997-12-09,0.22106264129715747
300,1997-12-16,0.13388923800775387
301,1997-12-23,0.1390281014772323
302,1997-12-31,0.21136986635431504
303,1998-01-08,0.3286799520713804
304,1998-01-15,0.18403732390980954
305,1998-01-23,0.11924696688505429
306,1998-01-30,0.21378397437960064
307,1998-02-06,0.0870752898190884
308,1998-02-13,0.07142977618920353
309,1998-02-23,0.22887340857490057
310,1998-03-02,0.07028408280993982
311,1998-03-09,0.29934820176206467
312,1998-03-16,0.0453833100355831
313,1998-03-23,0.03969710048471009
314,1998-03-30,0.14601446074889718
315,1998-04-06,0.18587878151045442
316,1998-04-14,0.1816235791712627
317,1998-04-21,0.1818390017561966
318,1998-04-28,0.46270847024184597
319,1998-05-05,0.08972650018594948
320,1998-05-12,0.14030295030337206
321,1998-05-19,0.10378506535161315
322,1998-05-27,0.2327618236735574
323,1998-06-03,0.17034264218092696
324,1998-06-10,0.12855681932249408
325,1998-06-17,0.3011596005099899
326,1998-06-24,0.10421725048076531
327,1998-07-01,0.09413780300602151
328,1998-07-09,0.11551494649146633
329,1998-07-16,0.09934745101491431
330,1998-07-23,0.15980858862024486
331,1998-07-30,0.32229470463813115
332,1998-08-06,0.3641666025892141
333,1998-08-13,0.38929328232140537
334,1998-08-20,0.183836177823945
335,1998-08-27,0.4217211047649439
336,1998-09-03,0.3738491186953659
337,1998-09-11,0.3724230448799147
338,1998-09-18,0.20638346432877908
339,1998-09-25,0.28000864356769795
340,1998-10-02,0.32934832119793844
341,1998-10-09,0.17490673609622198
342,1998-10-16,0.16629326396165361
343,1998-10-23,0.056907296109234486
344,1998-10-30,0.11130098877265841
345,1998-11-06,0.16418521027446858
346,1998-11-13,0.10061084785737032
347,1998-11-20,0.11650221672672617
348,1998-11-30,0.23135945722034107
349,1998-12-07,0.27908787992192857
350,1998-12-14,0.16689531595409082
351,1998-12-21,0.0937355178575262
352,1998-12-29,0.07164976588161455
353,1999-01-06,0.15789246048131142
354,1999-01-13,0.2865390484414522
355,1999-01-21,0.04133009467853127
356,1999-01-28,0.11146388588115154
357,1999-02-04,0.10200415304307729
358,1999-02-11,0.21976233704610704
359,1999-02-19,0.23566861817762652
360,1999-02-26,0.04471901686157785
361,1999-03-05,0.21303472888620148
362,1999-03-12,0.05344931299579205
363,1999-03-19,0.2580964700996532
364,1999-03-26,0.27148776632958405
365,1999-04-05,0.16275501015002064
366,1999-04-12,0.038118057410247964
367,1999-04-19,0.016958666389374204
368,1999-04-26,0.022895693612596447
369,1999-05-03,0.19000877356441945
370,1999-05-10,0.0551493885135114
371,1999-05-17,0.22333973150023118
